pct_total,game_mode,win_value_underdog,blind_combo_0,blind_combo_1,level_0,level_1,lognormal,pct_high_mean,high_low_ratio_mean,high_low_ratio_variance,mean_variance_ratio,pct_high_sigma,coef_0,coef_1,coef_2,coef_3,coef_4,coef_5,coef_6,coef_7,coef_8,coef_9,coef_10,mean,std
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,1.5,0.2,347157125.4855594,-1050330592.5808902,1195884373.5538387,-564541425.902377,40746495.01032088,8159634.750108798,61890660.18824993,-50811631.38139144,16640271.519324055,-2517513.735327532,141798.56739693775,0.5,0.03404143315617339
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,1.5,0.3,329531270.76421297,-1034085044.2820598,1232154391.4584596,-638802921.2674402,101264228.35580175,-25997405.413930506,80503377.63047117,-59763990.88781277,19505658.2269954,-3019391.0490977005,177929.92643751588,0.5,0.03438435241948234
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.2,1.5,0.4,493673143.48781824,-1381114833.328531,1278696098.4142764,-93542853.2279832,-647039155.5659549,469825516.288035,-114189417.51965861,-11784844.24871777,11891936.789478883,-2233719.712071553,133055.14024146102,0.5,0.033978907751099796
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,0.5,0.1,728508.578656559,-1861837.1510010462,1325354.285713121,337872.30256131955,-710188.0628219104,10944.33186359387,315984.61598210904,-181729.28592086566,44275.81061763346,-4793.582675162878,163.28649647608012,0.5,0.07225226384840672
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,0.5,0.2,195193.34067486812,-22509.669454691983,-1186081.3294384175,1874436.275232078,-765835.1854072626,-593871.5293168483,805834.2996450057,-390648.90944748797,97966.06959672408,-12624.51595818247,659.4370977698371,0.5,0.07720692185644064
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,0.5,0.3,150573.93327805153,4428.771819885058,-990301.8246608214,1539589.9746472377,-633849.7340138295,-464162.00727035786,634081.8534394552,-305023.11371127784,75659.43522694438,-9630.6155768055,496.87314524964444,0.5,0.07767396484450115
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,0.5,0.4,-1109642.4911486402,5468871.97493567,-11379125.661997832,12957122.743226022,-8691569.763947083,3373824.5398154855,-627387.9956850284,-18682.349248925584,32010.25802928124,-5537.711039404027,316.4572101293016,0.5,0.08029521235588609
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,0.75,0.1,11107832.997683473,-31608514.1893957,30899892.20552308,-7560024.800255484,-5280435.793174766,718611.8990010467,3962739.2283376227,-2985965.3715180443,965899.4422764702,-152357.2965384304,9583.249518005196,0.5,0.057551147083519584
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,0.75,0.2,4635994.228925601,-12446567.821126092,10329241.105281169,366558.39361987694,-4626984.989715783,1179752.2992223336,1444419.9618549342,-1159080.1542724762,360371.777214705,-53026.11800524266,3034.7977050664545,0.5,0.0609960098274969
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,0.75,0.3,5662561.994571677,-14761360.575127592,10898672.989350475,2952144.504289646,-6988138.437900589,866981.4258063798,3026521.560756501,-2215390.0121591245,700889.7099640856,-108963.47075209153,6792.779126240607,0.5,0.061835055335585115
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,0.75,0.4,1833168.1892198105,-5340432.5014449265,5780477.335424588,-2908045.2897462384,1315091.5913710913,-1510847.4048566832,1315967.9933373933,-606433.042555457,149940.75724025414,-18806.32363273297,925.2981446887559,0.5,0.0638521122400322
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,1.0,0.1,62372301.0763639,-173196687.9188953,159544376.73445234,-19939520.416922364,-53238526.9705965,20385499.433067083,15371014.073893113,-15348009.304748666,5425251.270826135,-907897.3782324018,60183.88862472971,0.5,0.04706643586362382
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,1.0,0.2,27250879.32534093,-75450459.95221668,68588334.9297374,-7608833.437192144,-22660818.90972288,7444909.536833279,7366512.390477807,-6597870.962618118,2200027.321898498,-346753.6508578678,21399.602359184693,0.5,0.04934287276212959
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,1.0,0.3,26457607.01804183,-74025785.47434095,68088824.3534756,-6836295.964146728,-25648167.05536067,10887136.653737057,5739696.29132689,-6423511.424376399,2327076.8034266215,-394602.24881173106,26457.83690402342,0.5,0.051434462846497636
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,1.0,0.4,28296795.269679084,-71717218.50425714,44874384.04108772,36895832.393732935,-65054035.19520152,29370531.02644516,2422693.739329507,-7276546.990969252,2905365.584645101,-511454.15167274326,35083.498065875676,0.5,0.052003702444966396
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,1.25,0.1,155357656.0773258,-419903989.9478987,361663456.2043217,-8237476.90153836,-148063365.76194933,39193568.33205577,54947760.66375495,-47136750.10876248,16065090.778688116,-2647588.8002532492,174097.56935794637,0.5,0.03944039029499101
0.98,expected,0.01,False,False,100,100,normal,0.3,2.0,1.6,1.25,0.2,53014562.73448092,-151559399.40359214,144449050.3390107,-14292220.564960802,-73879688.24091968,61645179.570539854,-23462537.379269212,5209930.796426901,-927805.8839229384,167915.32037144026,-17224.99040020109,0.5,0.04205991420864637
